frame_no,status,frame_type,can_id,rtr_type,dlc,start_sample,end_sample,start_us,end_us,duration_us,gap_from_previous_us,data_hex,summary,decoded,error
303,ok,extended,0x18F128F4,data,8,1781270357,1781379717,8906351.785,8906898.585,546.800,537.240,8B 01 90 01 5A 00 00 00,JKBMS CAN 0x18F128F4 capacity/cycles node=0 DLC=8 [8B 01 90 01 5A 00 00 00],0x18F128F0 capacity remain=39.5Ah rated=40.0Ah reserved=0x005A cycles=0,
304,ok,extended,0x18F528F4,data,8,1781471173,1781584533,8907355.865,8907922.665,566.800,457.280,23 00 00 00 00 00 00 00,JKBMS CAN 0x18F528F4 BMS status raw node=0 DLC=8 [23 00 00 00 00 00 00 00],0x18F528F0 BMS status raw raw=23 00 00 00 00 00 00 00,
305,ok,extended,0x1806E5F4,data,8,1781670374,1781782134,8908351.870,8908910.670,558.800,429.205,02 9E 01 7C 20 00 00 00,JKBMS CAN 0x1806E5F4 charge limits node=0 DLC=8 [02 9E 01 7C 20 00 00 00],0x1806E5F0 charge info V=4045.0V I=3174.5A raw=02 9E 01 7C 20 00 00 00,
306,ok,standard,0x5F4,data,8,1781870449,1781963009,8909352.245,8909815.045,462.800,441.575,49 01 49 00 49 00 00 00,JKBMS CAN 0x5F4 cell temperature summary node=0 DLC=8 [49 01 49 00 49 00 00 00],0x5F0 temp max=23.0C#1 min=23.0C#0 avg=23.0C,
307,ok,extended,0x18F228F4,data,8,1782071265,1782178225,8910356.325,8910891.125,534.800,541.280,10 49 49 4A 49 49 00 00,JKBMS CAN 0x18F228F4 extended temperatures node=0 DLC=8 [10 49 49 4A 49 49 00 00],0x18F228F0 temps mask=0x10 T1=23.0C T2=23.0C T3=24.0C T4=23.0C T5=23.0C,
308,ok,extended,0x18F428F4,data,8,1782270467,1782381427,8911352.335,8911907.135,554.800,461.210,90 82 0E 00 00 00 64 00,JKBMS CAN 0x18F428F4 BMS info raw node=0 DLC=8 [90 82 0E 00 00 00 64 00],0x18F428F0 BMS info raw raw=90 82 0E 00 00 00 64 00,
309,ok,extended,0x18E028F4,data,8,1782470542,1782577502,8912352.710,8912887.510,534.800,445.575,F5 0D F3 0D F2 0D F2 0D,JKBMS CAN 0x18E028F4 cell voltages 1 node=0 DLC=8 [F5 0D F3 0D F2 0D F2 0D],0x18E028F0 cells C01=3.573V C02=3.571V C03=3.570V C04=3.570V,
310,ok,extended,0x18E128F4,data,8,1782670550,1782778310,8913352.750,8913891.550,538.800,465.240,F3 0D F3 0D F2 0D F2 0D,JKBMS CAN 0x18E128F4 cell voltages 2 node=0 DLC=8 [F3 0D F3 0D F2 0D F2 0D],0x18E128F0 cells C05=3.571V C06=3.571V C07=3.570V C08=3.570V,
311,ok,extended,0x18E228F4,data,8,1782870561,1782979121,8914352.805,8914895.605,542.800,461.255,F2 0D F3 0D F3 0D F4 0D,JKBMS CAN 0x18E228F4 cell voltages 3 node=0 DLC=8 [F2 0D F3 0D F3 0D F4 0D],0x18E228F0 cells C09=3.570V C10=3.571V C11=3.571V C12=3.572V,
312,ok,extended,0x18E328F4,data,8,1783070569,1783178329,8915352.845,8915891.645,538.800,457.240,F4 0D F4 0D F3 0D F3 0D,JKBMS CAN 0x18E328F4 cell voltages 4 node=0 DLC=8 [F4 0D F4 0D F3 0D F3 0D],0x18E328F0 cells C13=3.572V C14=3.572V C15=3.571V C16=3.571V,
313,ok,standard,0x2F4,data,8,1800879415,1800972775,9004397.075,9004863.875,466.800,88505.430,3B 02 A0 0F 63 00 00 00,JKBMS CAN 0x2F4 battery status node=0 DLC=8 [3B 02 A0 0F 63 00 00 00],0x2F0 pack V=57.1V I=+0.0A SOC=99% discharge_time=0h,
314,ok,standard,0x4F4,data,8,1801089024,1801181584,9005445.120,9005907.920,462.800,581.245,F5 0D 01 F3 0D 06 00 00,JKBMS CAN 0x4F4 cell voltage extremes node=0 DLC=8 [F5 0D 01 F3 0D 06 00 00],0x4F0 cell_max=3.573V#1 cell_min=3.571V#6 dV=2mV,
315,ok,standard,0x2F4,data,8,1820890699,1820984059,9104453.495,9104920.295,466.800,98545.575,3B 02 A0 0F 63 00 00 00,JKBMS CAN 0x2F4 battery status node=0 DLC=8 [3B 02 A0 0F 63 00 00 00],0x2F0 pack V=57.1V I=+0.0A SOC=99% discharge_time=0h,
316,ok,standard,0x4F4,data,8,1821082709,1821175269,9105413.545,9105876.345,462.800,493.250,F5 0D 01 F3 0D 06 00 00,JKBMS CAN 0x4F4 cell voltage extremes node=0 DLC=8 [F5 0D 01 F3 0D 06 00 00],0x4F0 cell_max=3.573V#1 cell_min=3.571V#6 dV=2mV,
317,ok,extended,0x18F128F4,data,8,1821272306,1821381666,9106361.530,9106908.330,546.800,485.185,8B 01 90 01 5A 00 00 00,JKBMS CAN 0x18F128F4 capacity/cycles node=0 DLC=8 [8B 01 90 01 5A 00 00 00],0x18F128F0 capacity remain=39.5Ah rated=40.0Ah reserved=0x005A cycles=0,
