frame_no,status,frame_type,can_id,rtr_type,dlc,start_sample,end_sample,start_us,end_us,duration_us,gap_from_previous_us,data_hex,summary,decoded,error
72,ok,standard,0x35E,data,8,2401091011,2401135291,12005455.055,12005676.455,221.400,124888.000,53 6F 66 61 72 20 20 20,Sofar CAN v2026.07.04a 0x35E brand DLC=8 [53 6F 66 61 72 20 20 20],0x35E Sofar brand 'Sofar' raw=53 6F 66 61 72 20 20 20,
73,ok,standard,0x35F,data,8,2426291290,2426338770,12131456.450,12131693.850,237.400,125779.995,00 00 00 01 22 01 00 00,Sofar CAN v2026.07.04a 0x35F module raw DLC=8 [00 00 00 01 22 01 00 00],"0x35F Sofar module raw='."".' u16=[0, 256, 290, 0] raw=00 00 00 01 22 01 00 00",
74,ok,standard,0x35A,data,8,2501890427,2501934307,12509452.135,12509671.535,219.400,377758.285,AA AA AA 02 AA AA AA 02,Sofar CAN v2026.07.04a 0x35A Sofar? DLC=8 [AA AA AA 02 AA AA AA 02],0x35A unknown raw=AA AA AA 02 AA AA AA 02,
75,ok,standard,0x351,data,8,2527090306,2527136586,12635451.530,12635682.930,231.400,125779.995,40 02 08 07 08 07 00 02,Sofar CAN v2026.07.04a 0x351 limits DLC=8 [40 02 08 07 08 07 00 02],0x351 Sofar limits chgV=57.6V chgI=180.0A disI=180.0A lowV=51.2V,
76,ok,standard,0x355,data,8,2552289785,2552336065,12761448.925,12761680.325,231.400,125765.995,46 00 64 00 6C 1B 00 00,Sofar CAN v2026.07.04a 0x355 SOC/SOH DLC=8 [46 00 64 00 6C 1B 00 00],0x355 Sofar SOC=70%% SOH=100%%,
77,ok,standard,0x356,data,8,2577490464,2577536744,12887452.320,12887683.720,231.400,125771.995,EE 15 00 00 F9 00 00 00,Sofar CAN v2026.07.04a 0x356 pack DLC=8 [EE 15 00 00 F9 00 00 00],0x356 Sofar pack V=56.14V I=+0.0A temp=24.9C,
78,ok,standard,0x35E,data,8,2602690343,2602734623,13013451.715,13013673.115,221.400,125767.995,53 6F 66 61 72 20 20 20,Sofar CAN v2026.07.04a 0x35E brand DLC=8 [53 6F 66 61 72 20 20 20],0x35E Sofar brand 'Sofar' raw=53 6F 66 61 72 20 20 20,
79,ok,standard,0x35F,data,8,2627889422,2627936902,13139447.110,13139684.510,237.400,125773.995,00 00 00 01 22 01 00 00,Sofar CAN v2026.07.04a 0x35F module raw DLC=8 [00 00 00 01 22 01 00 00],"0x35F Sofar module raw='."".' u16=[0, 256, 290, 0] raw=00 00 00 01 22 01 00 00",
80,ok,standard,0x35A,data,8,2703488959,2703532839,13517444.795,13517664.195,219.400,377760.285,AA AA AA 02 AA AA AA 02,Sofar CAN v2026.07.04a 0x35A Sofar? DLC=8 [AA AA AA 02 AA AA AA 02],0x35A unknown raw=AA AA AA 02 AA AA AA 02,
81,ok,standard,0x351,data,8,2728688838,2728735118,13643444.190,13643675.590,231.400,125779.995,40 02 08 07 08 07 00 02,Sofar CAN v2026.07.04a 0x351 limits DLC=8 [40 02 08 07 08 07 00 02],0x351 Sofar limits chgV=57.6V chgI=180.0A disI=180.0A lowV=51.2V,
